2024-06-27 00:06:843 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (6a614ec38316d9d32291237a42e6f552)] -> xpath: //select[@id='model']]
2024-06-27 00:06:10 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (6a614ec38316d9d32291237a42e6f552)] -> xpath: //select[@id='state']]
2024-06-27 00:06:182 INFO  BuyPage :69 - enter price[[ChromeDriver: chrome on windows (6a614ec38316d9d32291237a42e6f552)] -> xpath: //select[@id='priceTo']]
2024-06-27 00:06:915 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:598 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (3c3a3b36a036032c90d0c7c171070f72)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:07 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (3c3a3b36a036032c90d0c7c171070f72)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-27 00:06:576 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (3c3a3b36a036032c90d0c7c171070f72)] -> xpath: //select[@id='make']]
2024-06-27 00:06:807 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (3c3a3b36a036032c90d0c7c171070f72)] -> xpath: //select[@id='model']]
2024-06-27 00:06:38 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (3c3a3b36a036032c90d0c7c171070f72)] -> xpath: //select[@id='state']]
2024-06-27 00:06:240 INFO  BuyPage :69 - enter price[[ChromeDriver: chrome on windows (3c3a3b36a036032c90d0c7c171070f72)] -> xpath: //select[@id='priceTo']]
2024-06-27 00:06:494 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:154 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (34b67561fe3a5636e9821cee1c923168)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:10 INFO  BuyPage :105 - click on used car tab[[ChromeDriver: chrome on windows (34b67561fe3a5636e9821cee1c923168)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
